phrase, score
this seat was donated, 148
loving memory of dorothy, 148
loving memory of joyce, 148
all who knew him, 148
rest a while and, 148
husband and father, 148
memory of charles, 146
by her family and friends, 144
by all who, 144
by all who knew him, 144
in memory of james, 144
in memory of alan, 144
in our hearts you will always stay loved, 144
in loving memory of andrew, 144
in loving memory of edward, 144
in loving memory of my wife, 144
in loving memory of john &, 144
in loving memory of pat, 144
in loving memory of mr, 144
in loving memory of mark, 144
memory of our mum, 144
of the surrounding area is dedicated, 144
of her majesty queen elizabeth, 144
from his family and friends, 144
loved these gardens, 144
many happy times, 144
loving memory of a dear mum, 144
loving memory of our dear parents, 144
loving memory of our mum, 144
loving memory of mrs, 144
loving memory of fred, 144
loving memory of mum &, 144
will never be forgotten, 144
away they walk beside us every, 144
part of the surrounding area is, 144
[left] in loving memory of, 144
memory of ron, 142
missed by his, 142
the life of, 140
in our hearts you will always stay, 140
in our thoughts and, 140
of mum and dad, 140
and remembered every day, 140
and miss you, 140
this seat has been, 140
loving memory of tom, 140
wife mother and, 140
hearts we leave behind is not to, 140
missed by all his family and friends, 140
donated by his, 138
in loving memory of kenneth, 138
in loving memory of maureen, 138
in loving memory of cyril, 138
in loving memory of ann, 138
memory of our dear parents, 138
memory of eric, 138
loved husband dad and grandad, 138
loving husband dad and grandad, 138
while and enjoy the view, 138
in our hearts you will always, 136
memory of paul, 136
memory of mum and, 136
of a dear husband, 136
of a much loved, 136
who loved to sit, 136
this seat is in memory of, 136
loving memory of roy, 136
loving memory of barbara, 136
loving memory of eric, 136
loving memory of dr, 136
loving memory of bob, 136
wife mother and grandmother, 136
our hearts and, 136
our hearts and thoughts, 136
friends in memory of, 136
presented by the rotary club of, 136
memories of our, 136
don't go away they, 136
sadly missed by all the family, 136
stay loved and remembered every day, 136
'life for a life' memorial forest, 136
memory of fred, 134
memory of tom, 134
to sit and, 134
he loved this, 134
we meet again, 134
missed by family, 134
donated by the friends of, 132
by the rotary club, 132
by all his family and, 132
family and friends in, 132
in memory of a dear, 132
in memory of councillor, 132
in memory of eric, 132
in memory of joan, 132
in loving memory of joe, 132
in loving memory of reg, 132
in loving memory of christine, 132
in celebration of the, 132
of our beloved, 132
who spent many happy times, 132
loved husband father and, 132
spent many happy times, 132
happy hours in this park, 132
her family and, 132
loving memory of our dad, 132
loving memory of tony, 132
loving husband father and, 132
on the occasion of, 132
much loved husband father and, 132
love don't go away, 132
we love don't go, 132
will always stay loved and remembered every day, 132
missed by all the, 132
full of care we have no time to, 132
unseen unheard but always near still loved still, 132
unheard but always near still loved still missed, 132
our hearts you will always stay loved, 130
hearts you will always stay loved and, 130
friends and colleagues, 130
you will always, 130
you will always stay loved and remembered, 130
in memory of a much loved, 128
in memory of ken, 128
in memory of arthur, 128
memory of george and, 128
he loved this place, 128
loving memory of thomas, 128
loving memory of norman, 128
loving husband dad and, 128
wife and mother, 128
missed by all his family and, 128
gone but never forgotten, 128
they walk beside us every day, 128
husband dad &, 128
club in memory of, 128
rotary club of, 128
in memory of the late, 126
in our hearts you will, 126
in loving memory of dear, 126
in loving memory of patricia, 126
in loving memory of elizabeth, 126
in loving memory of irene, 126
memory of betty, 126
memory of bob, 126
who spent many happy years, 126
this seat was donated by, 126
loving memory of our beloved, 126
much loved and missed by, 126
much loved husband dad and, 126
a loving husband, 126
by family & friends, 124
by all his, 124
in memory of richard, 124
in celebration of, 124
memory of tony, 124
memory of dorothy, 124
memory of harry, 124
loving memory of albert, 124
missed by his family, 124
loved husband dad, 122
loving husband father, 122
donated by family and friends, 120
by siston parish council for the enjoyment of, 120
in memory of fred, 120
in our hearts in loving memory, 120
in loving memory of a dear husband and, 120
in loving memory of harold, 120
in loving memory of our mother, 120
in loving memory of anne, 120
in loving memory of phyllis, 120
in loving memory of doreen, 120
in loving memory of derek, 120
in loving memory of ronald, 120
in ever loving memory, 120
memory of a dear mum, 120
memory of a beloved, 120
memory of my beloved husband, 120
loved and remembered always, 120
loved husband dad and, 120
and forever in our hearts, 120
this seat has been donated, 120
this bench was donated, 120
this bench was donated by, 120
always stay loved and remembered every day, 120
her majesty queen elizabeth ii, 120
loving memory of our son, 120
loving memory of my wife, 120
loving memory of john and, 120
our hearts in loving memory of, 120
our hearts you will always stay, 120
much loved husband dad and grandad, 120
we leave behind is not to, 120
presented in memory of, 120
will always stay loved and remembered, 120
will always stay loved and remembered every, 120
you will always be in our, 120
you will always stay loved and remembered every, 120
all his family and, 120
while and enjoy the, 120
gone but not forgotten, 120
those we love don't, 120
sadly missed by family and friends, 120
x x x x x x, 120
if full of care we have no time, 120
fond memories of, 120
parish council for the enjoyment of the residents, 120
siston parish council for the enjoyment of the, 120
donated in memory, 118
in my heart, 118
of my husband, 118
happy hours in, 118
we love you, 118
by the family of, 116
by her family and, 116
memory of thomas, 116
of mum & dad, 116
from his family and, 116
from family and friends, 116
and his wife, 116
loving memory of ian, 116
loving memory of kathleen, 116
sit a while and, 116
my dear wife, 116
ever loving memory of, 116
in loving memory of ted, 114
in loving memory of martin, 114
in loving memory of leonard, 114
in loving memory of dennis, 114
in loving memory of anthony, 114
in loving memory of chris, 114
of the surrounding area is, 114
always in our hearts and, 114
loving memory of george and, 114
will always be in our, 114
beloved husband father and grandfather, 114
but never forgotten, 114
sadly missed by all the, 114
part of the surrounding area, 114
by the family, 112
the city of, 112
family and friends in memory of, 112
in memory of paul, 112
in loving memory of a very, 112
in loving memory of bill &, 112
in celebration of the life of, 112
memory of a loving, 112
memory of a much, 112
memory of barbara, 112
memory of mum &, 112
who loved this garden, 112
who died on, 112
this bench is dedicated, 112
always near still loved still missed, 112
seat is dedicated, 112
happy hours in this, 112
hearts we leave behind is not, 112
a dear husband, 112
love you always, 112
husband father & grandfather, 112
jubilee of her majesty queen elizabeth, 112
donated by the friends of battersea park, 110
in loving memory of our dear son, 110
memory of joyce, 110
of care we have no time to, 110
who passed away, 110
loved and missed by all his family, 110
loved and missed by family and friends, 110
this bench was, 110
happy hours here, 110
our thoughts forever, 110
sit a while, 110
beloved wife of, 110
but always near still loved still missed, 110
jubilee of her majesty queen elizabeth ii, 110
cherished memories of, 110
full of care we have no time, 110
unseen unheard but always near still loved, 110
unheard but always near still loved still, 110
donated by the friends of battersea park 2002, 108
by the friends, 108
by change step veterans in memory of fallen, 108
the surrounding area is dedicated, 108
the benefit and use of the people of, 108
family in memory of, 108
family in loving memory, 108
in memory of his, 108
in memory of jean, 108
in memory of ron, 108
in loving memory of leslie, 108
in loving memory of sue, 108
in loving memory of patrick, 108
in loving memory of elsie, 108
in loving memory of marjorie, 108
memory of mr & mrs, 108
memory of our son, 108
memory of roy, 108
memory of the late, 108
memory of norman, 108
of our dear parents, 108
loved and sadly missed, 108
loved husband father, 108
this bench is dedicated to the memory of, 108
always loved never forgotten, 108
always in our thoughts and, 108
for the benefit and use of the people, 108
for those he loved and those he loved, 108
loving memory of doris, 108
loving memory of john &, 108
loving memory of eileen, 108
loving memory of gordon, 108
loving memory of charles, 108
loving memory of susan, 108
loving husband dad, 108
loving husband father and grandfather, 108
our hearts you will always, 108
love and miss, 108
placed here by siston parish council for the, 108
here by siston parish council for the enjoyment, 108
life if full of care we have no, 108
bench is dedicated to, 108
missed by all who, 108
they walk beside us, 108
they walk beside us every, 108
go away they walk, 108
change step veterans in memory of fallen comrades, 108
dad & grandad, 108
beside us every day unseen unheard but always, 108
stay loved and remembered every, 108
part of the surrounding area is dedicated to, 108
am eu cyfoedion coll installed here in 2016, 108
benefit and use of the people of nottingham, 108
er cof am eu cyfoedion coll installed here, 108
cof am eu cyfoedion coll installed here in, 108
loved to sit, 106
memories of a, 106
son and brother, 106
by all the, 104
the golden jubilee of, 104
in memory of tony, 104
in memory of my dear wife, 104
in loving memory of a beloved, 104
in loving memory of my dearest, 104
in loving memory of fred and, 104
in loving memory of jack and, 104
memory of my wife, 104
memory of my parents, 104
memory of ian, 104
of her majesty queen, 104
to commemorate the golden jubilee of, 104
loved by all who, 104
always stay loved and remembered every, 104
spent many happy years, 104
her majesty queen elizabeth, 104
loving memory of colin, 104
hearts you will always stay loved, 104
much loved husband father and grandfather, 104
remembered with love by, 104
is in memory of, 104
given in memory of, 104
you will always stay loved and, 104
my dear husband, 104
miss you so much, 104
thoughts forever in, 104
greatly missed by, 104
away they walk beside, 104
sadly missed by his, 104
[left] in loving memory, 104
in memory of our parents, 102
in loving memory of len, 102
in loving memory of alice, 102
in loving memory of vera, 102
in loving memory of audrey, 102
in loving memory of gladys, 102
memory of doris, 102
memory of our dear friend, 102
memory of albert, 102
dedicated in loving memory of, 102
to celebrate the life of, 102
who knew her, 102
loved husband father and grandfather, 102
and friends in memory of, 102
this seat is in memory, 102
seat is in memory of, 102
for a life' memorial forest, 102
a loving wife, 102
friends and family, 102
presented by the rotary club, 102
mother and grandmother, 102
celebration of the life of, 102
your loving family, 102
'life for a life' memorial, 102
donated by the family, 100
by his wife and, 100
by siston parish council for the enjoyment, 100
in memory of tom, 100
memory of our dad, 100
of my beloved, 100
to the city of, 100
who enjoyed many happy, 100
with a smile, 100
this seat was presented, 100
for those he loved and those he, 100
loving memory of a dear husband and, 100
loving memory of sheila, 100
loving memory of cyril, 100
much loved wife, 100
bench is dedicated to the memory of, 100
sit a while and enjoy the view, 100
council for the enjoyment of the residents, 100
if full of care we have no, 100
beside us every day unseen unheard but, 100
parish council for the enjoyment of the, 100
siston parish council for the enjoyment of, 100
the rotary club, 98
from all the, 98
mr & mrs, 98
donated by the friends, 96
by his wife and family, 96
the surrounding area is dedicated in loving memory, 96
in memory of mr & mrs, 96
in memory of a much, 96
in memory of her, 96
in memory of doris, 96
in memory of fallen comrades armed forces covenant, 96
in our hearts you, 96
in loving memory of a dear husband dad, 96
in loving memory of my parents, 96
in loving memory of ray, 96
in loving memory of janet, 96
in loving memory of iris, 96
in loving memory of bert, 96
in loving memory of ivy, 96
in loving memory of philip, 96
in loving memory of terry, 96
in loving memory from, 96
in the hearts of, 96
in commemoration of the, 96
in hearts we leave behind is not to, 96
in 2016 by change step veterans in memory, 96
memory of a dear husband and, 96
memory of our mother, 96
memory of mark, 96
of the late, 96
of the surrounding area is dedicated in loving, 96
to commemorate the silver jubilee of, 96
who lived in, 96
loved and remembered by, 96
loved and missed by all his, 96
this seat was presented by, 96
this bench is placed here by siston parish, 96
every day unseen unheard but always near still, 96
always stay loved and remembered, 96
for the enjoyment of, 96
loving memory of andrew, 96
loving memory of edward, 96
loving memory of our mother, 96
loving memory of pat, 96
loving memory of mr, 96
loving memory of mark, 96
loving memory of ann, 96
loving memory of christine, 96
garden of remembrance [under seat] city of london, 96
a loving husband dad and, 96
love from all the family, 96
love could have saved you you would have, 96
is placed here by siston parish council for, 96
here in 2016 by change step veterans in, 96
here if you don't mind someone stopping to, 96
life was a blessing your memory a treasure, 96
we love and miss you, 96
presented to the people of, 96
will never be, 96
us every day unseen unheard but always near, 96
bench is placed here by siston parish council, 96
bench in loving memory of, 96
you will always be in, 96
sit here if you don't mind someone stopping, 96
walk beside us every day, 96
walk beside us every day unseen unheard but, 96
rest a while and enjoy, 96
be in our hearts, 96
member of the, 96
they walk beside us every day unseen unheard, 96
your family and friends, 96
husband father &, 96
lived life to the full, 96
lived for those he loved and those he, 96
royal fusiliers garden of remembrance [under seat] city, 96
change step newid cam gosodwyd yn 2016 gan, 96
live in hearts we leave behind is not, 96
away they walk beside us every day unseen, 96
sadly missed by family and, 96
surrounding area is dedicated in loving memory of, 96
day unseen unheard but always near still loved, 96
if you don't mind someone stopping to say, 96
2016 gan gyn-filwyr newid cam er cof am, 96
2016 by change step veterans in memory of, 96
part of the surrounding area is dedicated in, 96
cam gosodwyd yn 2016 gan gyn-filwyr newid cam, 96
cam er cof am eu cyfoedion coll installed, 96
veterans in memory of fallen comrades armed forces, 96
[right] in loving memory of, 96
step newid cam gosodwyd yn 2016 gan gyn-filwyr, 96
step veterans in memory of fallen comrades armed, 96
installed here in 2016 by change step veterans, 96
fusiliers garden of remembrance [under seat] city of, 96
[back] royal fusiliers garden of remembrance [under seat], 96
gan gyn-filwyr newid cam er cof am eu, 96
yn 2016 gan gyn-filwyr newid cam er cof, 96
coll installed here in 2016 by change step, 96
eu cyfoedion coll installed here in 2016 by, 96
newid cam gosodwyd yn 2016 gan gyn-filwyr newid, 96
newid cam er cof am eu cyfoedion coll, 96
gosodwyd yn 2016 gan gyn-filwyr newid cam er, 96
gyn-filwyr newid cam er cof am eu cyfoedion, 96
cyfoedion coll installed here in 2016 by change, 96
family friends and, 94
in honour of, 94
memory of gordon, 94
wife mum and, 94
royal british legion, 94
until we meet, 94
the silver jubilee of, 92
family and many friends, 92
in memory of bob, 92
in our hearts in, 92
in these gardens, 92
in grateful memory of, 92
memory of bill and, 92
memory of a very, 92
dedicated in loving memory, 92
to celebrate the, 92
who passed away on, 92
his wife and family, 92
seat was donated by, 92
hours in this park, 92
loving memory of kenneth, 92
loving memory of maureen, 92
loving memories of, 92
forever in my heart, 92
a place to, 92
will always be remembered, 92
thank you for, 92
husband father and grandad, 92
sadly missed by family, 92
by the friends of battersea park 2002, 90
by change step veterans in memory of, 90
the benefit and use of the people, 90
family and friends in loving memory of, 90
in memory of bill and, 90
in memory of john and, 90
in our hearts in loving, 90
in loving memory of douglas, 90
in loving memory of a much loved, 90
in loving memory of may, 90
in loving memory of henry, 90
in loving memory of hilda, 90
in loving memory of pauline, 90
in loving memory of beryl, 90
in loving memory of sylvia, 90
in loving memory of stanley, 90
in loving memory of raymond, 90
memory of our dear son, 90
of the surrounding area is dedicated in, 90
of the surrounding area is dedicated to, 90
who loved to walk here, 90
who spent many happy hours in these, 90
who knew him, 90
loved and missed by family, 90
and use of the people of nottingham, 90
this bench is dedicated to the memory, 90
every day unseen unheard but always near, 90
for the benefit and use of the, 90
many happy years, 90
loving memory of a very, 90
loving memory of my dearest, 90
loving memory of my beloved, 90
our hearts in loving memory, 90
hearts in loving memory of, 90
hearts you will always stay, 90
a much loved husband dad and grandad, 90
a much loved husband father, 90
remembered by family and friends, 90
remembered every day, 90
love from all, 90
placed here by siston parish council for, 90
here by siston parish council for the, 90
life if full of care we have, 90
we leave behind is not, 90
will always stay loved and, 90
us every day unseen unheard but always, 90
sit a while and enjoy, 90
rest a while and enjoy the view, 90
husband dad grandad, 90
lived for those he loved and those, 90
royal fusiliers garden of remembrance [under seat], 90
change step veterans in memory of fallen, 90
those he loved and those he loved, 90
jubilee of her majesty queen, 90
am eu cyfoedion coll installed here in, 90
leave behind is not to, 90
benefit and use of the people of, 90
step veterans in memory of fallen comrades, 90
er cof am eu cyfoedion coll installed, 90
cof am eu cyfoedion coll installed here, 90
eu cyfoedion coll installed here in 2016, 90
donated by the friends of battersea, 88
by the friends of battersea park, 88
in memory of miss, 88
in memory of my beloved husband, 88
in memory of betty, 88
in memory of thomas, 88
in loving memory of a devoted, 88
in loving memory of my beloved, 88
in loving memory of frank and, 88
memory of edward, 88
memory of john &, 88
memory of colin, 88
of our mum, 88
of my beloved husband, 88
of care we have no time, 88
loved and missed by family and, 88
loved by all who knew him, 88
and missed by all his family, 88
and missed by family and friends, 88
and forever in our, 88
this bench is dedicated to the, 88
always be in our, 88
seat has been donated, 88
for those he loved and those, 88
loving memory of our dear son, 88
loving memory of joe, 88
loving memory of anne, 88
loving memory of reg, 88
loving memory of patricia, 88
loving memory of elizabeth, 88
our hearts you will, 88
a loving husband dad and grandad, 88
a much loved husband father and, 88
friends and colleagues at, 88
is dedicated in loving memory of, 88
will always be in, 88
missed by all who knew her, 88
sit a while and enjoy the, 88
rest a while and enjoy the, 88
rest awhile and enjoy the view, 88
beloved husband father and, 88
but always near still loved still, 88
lived for those he loved and, 88
sadly missed by all his family, 88
stay loved and remembered, 88
care we have no time to, 88
full of care we have no, 88
unseen unheard but always near still, 88
unheard but always near still loved, 88
memory of his, 86
of john and, 86
from all his, 86
who enjoyed many, 86
who so loved, 86
his wife and, 86
wife and family, 86
was donated by, 86
fondest memory of, 86
donated by the family of, 84
donated in loving, 84
by all her family, 84
by acvo tsi & aberdeen city council for, 84
the days we used to share but in, 84
the silver jubilee of her majesty queen elizabeth, 84
family and friends in memory, 84
in memory of mr &, 84
in memory of a beloved, 84
in memory of dorothy, 84
in memory of harry, 84
in memory of norman, 84
in loving memory of donald, 84
in loving memory of dad, 84
in loving memory of keith, 84
in loving memory of frederick, 84
in loving memory of roger, 84
in loving memory of peggy, 84
in loving memory of stephen, 84
in celebration of the life, 84
in fondest memory, 84
in a garden than anywhere else on earth, 84
memory of my beloved wife, 84
memory of joe, 84
memory of fred and, 84
of a dear mum, 84
and always in our hearts, 84
and missed by all his, 84
his loving wife, 84
this seat was provided by, 84
this bench has been, 84
this big aberdeen friendly bench was created by, 84
always near still loved still, 84
loving memory of a dear husband and father, 84
loving memory of bill &, 84
loving memory of jack and, 84
loving memory of dear, 84
loving memory of phyllis, 84
loving memory of irene, 84
loving memory of ronald, 84
hearts we leave behind is, 84
hearts we leave behind is not to die, 84
hearts we leave behind is not to die", 84
& aberdeen city council for more information log, 84
a special place, 84
a loving husband dad, 84
a much loved husband dad, 84
friends in loving memory of, 84
we miss your memory we treasure loving you, 84
will be sadly missed, 84
you don't mind someone stopping to say hello, 84
all our love, 84
are the days we used to share but, 84
missed by all her family, 84
miss your memory we treasure loving you always, 84
be friendly project supported by acvo tsi &, 84
treasured memories of our, 84
supported by acvo tsi & aberdeen city council, 84
your memory we treasure loving you always forgetting, 84
your presence we miss your memory we treasure, 84
your life was a blessing your memory a, 84
please be friendly project supported by acvo tsi, 84
awhile and enjoy the view, 84
beloved husband father, 84
but always near still loved still missed and, 84
royal fusiliers garden of remembrance, 84
if love could have saved you you would, 84
could have saved you you would have lived, 84
near still loved still missed, 84
beside us every day, 84
project supported by acvo tsi & aberdeen city, 84
big aberdeen plaque provided by recognition express north, 84
deep in our hearts you will always stay, 84
presence we miss your memory we treasure loving, 84
friendly project supported by acvo tsi & aberdeen, 84
aberdeen city council for more information log onto, 84
aberdeen plaque provided by recognition express north scotland, 84
acvo tsi & aberdeen city council for more, 84
tsi & aberdeen city council for more information, 84
in recognition of, 82
memory of ted, 82
memory of kathleen, 82
memory of cyril, 82
of a wonderful, 82
to mark the, 82
many happy holidays, 82
presented by his, 82
donated by the rotary club of, 80
donated by family and, 80
by family and friends in memory of, 80
by all her family and friends, 80
by siston parish council for the, 80
the happy times we, 80
the surrounding area is dedicated in loving, 80
in memory of a loving husband, 80
in memory of my dear husband, 80
in memory of all, 80
in memory of mark, 80
in memory of walter, 80
in memory of fallen comrades armed forces, 80
in our hearts love, 80
in our thoughts in loving memory, 80
in our thoughts in loving memory of, 80
in loving memory of a special, 80
in loving memory of a dear friend, 80
in loving memory of a very dear, 80
in loving memory of a beautiful, 80
in loving memory of a much, 80
in loving memory of our beautiful, 80
in loving memory of our dear friend, 80
in loving memory of mary and, 80
in loving memory of peter and, 80
in loving memory of peter john, 80
